J1126-6054      171.719200    -60.911100   0.202737  2.81e-16     5.100      1.00      280.27       *       *  
J1128-6219      172.194583    -62.319167   0.515984  1.10e-17    93.000      0.27      675.00       *       *  
J1130-5826      172.568042    -58.433972   0.162323  1.59e-17     4.000      0.18      261.10       *       *  
J1130-5925      172.543500    -59.426139   0.680984  9.52e-16    16.000      0.12      264.40       *       *  
J1132-5627      173.065583    -56.458028   0.175166  6.80e-17     4.900      0.09      305.70       *       *  
J1133-6250      173.464375    -62.847389   1.022875  4.52e-16   255.000      2.90      567.80       *       *  
J1136+1551      174.013532     15.851244   1.187913  3.73e-15    31.700     32.00        4.84   -1.50    1.66  
J1136-5525      174.009042    -55.418972   0.364706  8.22e-15    15.000      4.00       85.50       *    1.40  
J1137-6700      174.383704    -67.009169   0.556216  7.17e-17    89.000      1.20      228.04       *    1.96  
J1138-6207      174.590083    -62.133139   0.117564  1.25e-14    12.000      0.49      519.80       *       *  
J1141-3322      175.428173    -33.377059   0.291468  4.63e-16     4.800      1.00       46.45       *    1.66  
J1141-6545      175.279225    -65.755309   0.393899  4.31e-15     4.400      3.30      116.08       *       *  
J1142-6230      175.718750    -62.501083   0.558383  7.79e-17    30.000      0.26      343.80       *       *  
J1143-5158      175.812771    -51.977747   0.675646  6.95e-16     8.000      0.30      159.03       *    2.51  
J1143-5536      175.790792    -55.601250   0.685358  4.85e-16    12.000      0.25      185.00       *       *  
J1144-6217      176.008792    -62.291750   0.850665  3.08e-14    10.000      0.20      284.70       *       *  
J1146-6030      176.532250    -60.516500   0.273372  1.79e-15    11.000      3.60      111.68       *    1.24  
J1148-5725      177.118875    -57.420167   3.559937  1.11e-14    53.000      0.12      174.00       *       *  
J1148-6415      177.157500    -64.259167   3.241029  2.70e-15    37.000      0.06      241.00       *       *  
J1151-6108      177.986917    -61.138222   0.101633  1.03e-14     5.650      0.06      216.00       *       *  
J1152-5800      178.041667    -58.009444   1.789829  1.28e-15    16.000      0.12      191.00       *       *  
J1152-6012      178.224167    -60.205833   0.376570  6.69e-15     9.600      0.17       74.00       *       *  
J1154-6250      178.583750    -62.834083   0.282012  5.59e-16     5.900      0.07       74.00       *       *  
J1156-5707      179.031042    -57.117194   0.288409  2.65e-14     4.800      0.19      243.50       *       *  
J1157-6224      179.313500    -62.414131   0.400522  3.93e-15    13.000      5.90      325.20       *    2.56  
J1159-6409      179.840417    -64.165833   0.667486  2.40e-17   210.000      0.47      178.00       *       *  
J1201-6306      180.345875    -63.116528   0.592136  3.56e-15    13.000      0.13      683.00       *       *  
J1202-5820      180.618346    -58.342611   0.452801  2.13e-15    10.000      2.00      145.41       *    1.95  
J1210-5559      182.524950    -55.984422   0.279767  7.26e-16     8.000      2.10      174.35       *    1.91  
J1210-6550      182.675000    -65.834611   4.237010  4.31e-16    39.000      0.17       37.00       *       *  
J1211-6324      182.850750    -63.412556   0.433084  2.57e-16    15.000      0.45      333.80       *       *  
J1214-5830      183.535083    -58.507194   0.909823  5.34e-17     9.400      0.14      141.10       *       *  
